"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WT01","WT03","WT04","WT05","WT06","WT08","WT11"
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-22","0.29","0.0","0.0","64","43","45",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-23","1.12","0.0","0.0","58","45","58",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-24","0.42","0.0","0.0","66","51","51",,,"    1",,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-25","0.03","0.0","0.0","69","44","44",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-26","0.03","0.0","0.0","74","41","41",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-27","0.00","0.0","0.0","62","37","38",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-28","0.00","0.0","0.0","74","38","49",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-29","0.00","0.0","0.0","65","36","43",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-30","0.00","0.0","0.0","64","35","39",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-01","0.00","0.0","0.0","68","35","48",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-02","0.00","0.0","0.0","70","39","41",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-03","0.00","0.0","0.0","71","41","47",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-04","0.00","0.0","0.0","76","47","57",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-05","0.00","0.0","0.0","83","57","58",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-06","0.00","0.0","0.0","82","54","56",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-07","0.00","0.0","0.0","81","41","47",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-08","0.00","0.0","0.0","68","47","51",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-09","0.00","0.0","0.0","63","47","53",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-10","0.00","0.0","0.0","71","52","54",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-11","0.00","0.0","0.0","76","54","56",,,"    1",,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-12","0.77","0.0","0.0","73","54","55",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-13","0.00","0.0","0.0","76","49","52",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-14","0.00","0.0","0.0","74","52","53",,"    1",,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-15","0.62","0.0","0.0","67","50","51",,,"    1",,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-16","0.26","0.0","0.0","69","51","56",,,"    1",,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-17","0.01","0.0","0.0","69","49","53",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-18","0.00","0.0","0.0","73","50","52",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-19","0.22","0.0","0.0","78","52","55",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-20","0.61","0.0","0.0","64","46","51",,,"    1",,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-21","0.00","0.0","0.0","71","44","47",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-22","0.01","0.0","0.0","73","47","51",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-23","0.00","0.0","0.0","67","43","46",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-24","0.00","0.0","0.0","70","43","52",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-25","0.00","0.0","0.0","74","51","54",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-26","0.00","0.0","0.0","79","54","60",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-27","0.14","0.0","0.0","78","60","66",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-28","0.00","0.0","0.0","84","61","64",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-29","0.00","0.0","0.0","86","59","61",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-30","0.00","0.0","0.0","90","61","70",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-05-31","0.00","0.0","0.0","91","64","65",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-01","0.00","0.0","0.0","86","64","66",,,"    1",,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-02","1.39","0.0","0.0","91","66","69",,,"    1",,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-03","1.58","0.0","0.0","83","68","70",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-04","0.21","0.0","0.0","73","57","60",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-05","0.00","0.0","0.0","70","59","61",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-06","0.01","0.0","0.0","74","56","59",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-07","0.01","0.0","0.0","75","59","63",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-08","0.64","0.0","0.0","65","56","56",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-09","0.16","0.0","0.0","74","56","61",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-10","0.13","0.0","0.0","78","56","59",,,"    1",,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-11","0.00","0.0","0.0","70","51","56",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-12","0.00","0.0","0.0","74","54","57",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-13","0.00","0.0","0.0","71","56","60",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-14","0.00","0.0","0.0","85","59","60",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-15","0.02","0.0","0.0","88","60","63",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-16","0.00","0.0","0.0","82","53","59",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-17","0.00","0.0","0.0","87","59","63",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-18","0.00","0.0","0.0","84","62","65",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-19","0.00","0.0","0.0","91","65","68",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-06-20","0.00","0.0","0.0","89","68","70",,,,,,,,
